Territorio;Titularidad del centro;Sexo;Curso escolar;Nivel educativo;Modalidad;Valor
País Vasco;Todos los centros;Total;2016-2017;Medio;Presencial;5711
País Vasco;Todos los centros;Total;2016-2017;Superior;Distancia;186
País Vasco;Todos los centros;Total;2016-2017;Superior;Presencial;6410
País Vasco;Todos los centros;Total;2017-2018;Básico;Presencial;1265
País Vasco;Todos los centros;Total;2017-2018;Medio;Distancia;215
País Vasco;Todos los centros;Total;2017-2018;Medio;Presencial;5549
País Vasco;Todos los centros;Total;2017-2018;Superior;Distancia;196
País Vasco;Todos los centros;Total;2017-2018;Superior;Presencial;7168
País Vasco;Todos los centros;Hombres;2015-2016;Básico;Presencial;528
País Vasco;Todos los centros;Hombres;2015-2016;Medio;Distancia;58
País Vasco;Todos los centros;Hombres;2015-2016;Medio;Presencial;3293
País Vasco;Todos los centros;Hombres;2015-2016;Superior;Distancia;80
País Vasco;Todos los centros;Hombres;2015-2016;Superior;Presencial;3612
País Vasco;Todos los centros;Hombres;2016-2017;Básico;Presencial;917
País Vasco;Todos los centros;Hombres;2016-2017;Medio;Distancia;66
País Vasco;Todos los centros;Hombres;2016-2017;Medio;Presencial;3095
País Vasco;Todos los centros;Hombres;2016-2017;Superior;Distancia;86
País Vasco;Todos los centros;Hombres;2016-2017;Superior;Presencial;3241
País Vasco;Todos los centros;Hombres;2017-2018;Básico;Presencial;902
País Vasco;Todos los centros;Hombres;2017-2018;Medio;Distancia;58
País Vasco;Todos los centros;Hombres;2017-2018;Medio;Presencial;2913
País Vasco;Todos los centros;Hombres;2017-2018;Superior;Distancia;88
País Vasco;Todos los centros;Hombres;2017-2018;Superior;Presencial;3647
País Vasco;Todos los centros;Mujeres;2015-2016;Básico;Presencial;195
País Vasco;Todos los centros;Mujeres;2015-2016;Medio;Distancia;155
País Vasco;Todos los centros;Mujeres;2015-2016;Medio;Presencial;2748
País Vasco;Todos los centros;Mujeres;2015-2016;Superior;Distancia;113
País Vasco;Todos los centros;Mujeres;2015-2016;Superior;Presencial;3625
País Vasco;Todos los centros;Mujeres;2016-2017;Básico;Presencial;351
País Vasco;Todos los centros;Mujeres;2016-2017;Medio;Distancia;172
País Vasco;Todos los centros;Mujeres;2016-2017;Medio;Presencial;2616
País Vasco;Todos los centros;Mujeres;2016-2017;Superior;Distancia;100
País Vasco;Todos los centros;Mujeres;2016-2017;Superior;Presencial;3169
País Vasco;Todos los centros;Mujeres;2017-2018;Básico;Presencial;363
País Vasco;Todos los centros;Mujeres;2017-2018;Medio;Distancia;157
País Vasco;Todos los centros;Mujeres;2017-2018;Medio;Presencial;2636
País Vasco;Todos los centros;Mujeres;2017-2018;Superior;Distancia;108
País Vasco;Todos los centros;Mujeres;2017-2018;Superior;Presencial;3521
