Territorio;Sexo;Curso escolar;Valor
España;Mujeres;2014-2015;140777
Andalucía;Mujeres;2014-2015;27676
Aragón;Mujeres;2014-2015;3667
Asturias, Principado de;Mujeres;2014-2015;2756
Balears, Illes;Mujeres;2014-2015;2853
Canarias;Mujeres;2014-2015;6173
Cantabria;Mujeres;2014-2015;2041
Castilla y León;Mujeres;2014-2015;7707
Castilla-La Mancha;Mujeres;2014-2015;7144
Cataluña;Mujeres;2014-2015;23247
Comunitat Valenciana;Mujeres;2014-2015;18827
Extremadura;Mujeres;2014-2015;3679
Galicia;Mujeres;2014-2015;8591
Madrid, Comunidad de;Mujeres;2014-2015;14123
Murcia, Región de;Mujeres;2014-2015;4318
Navarra, Comunidad Foral de;Mujeres;2014-2015;1373
País Vasco;Mujeres;2014-2015;4759
Rioja, La;Mujeres;2014-2015;1139
Ceuta;Mujeres;2014-2015;392
Melilla;Mujeres;2014-2015;312
